is_addition,old_file_path,new_file_path,line_num,content
False,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,64," @version $Id: BuilderTestSuite.java,v 1.2 2002/09/15 10:27:06 scolebourne Exp $"
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,64,"* @version $Id: BuilderTestSuite.java,v 1.3 2002/09/17 22:07:50 scolebourne Exp $"
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,91,suite.addTest(ToStringBuilderTest.suite());
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,92,suite.addTest(DefaultToStringStyleTest.suite());
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,93,suite.addTest(NoFieldNamesToStringStyleTest.suite());
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,94,suite.addTest(MultiLineToStringStyleTest.suite());
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,95,suite.addTest(SimpleToStringStyleTest.suite());
True,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,src/test/org/apache/commons/lang/builder/BuilderTestSuite.java,96,suite.addTest(StandardToStringStyleTest.suite());
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,2,"* The Apache Software License, Version 1.1"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,4,* Copyright (c) 2002 The Apache Software Foundation.  All rights
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,5,* reserved.
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,7,"* Redistribution and use in source and binary forms, with or without"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,8,"* modification, are permitted provided that the following conditions"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,9,* are met:
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,11,* 1. Redistributions of source code must retain the above copyright
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,12,"*    notice, this list of conditions and the following disclaimer."
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,14,* 2. Redistributions in binary form must reproduce the above copyright
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,15,"*    notice, this list of conditions and the following disclaimer in"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,16,*    the documentation and/or other materials provided with the
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,17,*    distribution.
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,19,"* 3. The end-user documentation included with the redistribution, if"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,20,"*    any, must include the following acknowlegement:"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,21,"*       ""This product includes software developed by the"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,22,"*        Apache Software Foundation (http://www.apache.org/)."""
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,23,"*    Alternately, this acknowlegement may appear in the software itself,"
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,24,*    if and wherever such third-party acknowlegements normally appear.
True,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,src/test/org/apache/commons/lang/builder/DefaultToStringStyleTest.java,26,"* 4. The names ""The Jakarta Project"", ""Commons"", and ""Apache Software"
